================================================================================
Modded-NanoGPT (RTX 4070 Laptop 8GB Optimized)
PyTorch: 2.15.0.dev20260907+cu126 | CUDA: 12.6
Device: NVIDIA GeForce RTX 4070 Laptop GPU | VRAM: 8.00 GB
================================================================================
Config: mbs=4 (4096 tokens) | batch_size=65536 tokens | grad_accum_steps=16
Validation tokens: 2097152
Starting training...
step:   0/3250 | val_loss:10.8258 | train_time:0.0s | step_avg:nanms | peak_vram:1043MB
step: 910/3250 | train_time:2949.5s | step_avg:3241.2ms | peak_vram:3840MB
step: 920/3250 | train_time:2970.8s | step_avg:3229.1ms | peak_vram:3840MB
step: 930/3250 | train_time:2992.0s | step_avg:3217.2ms | peak_vram:3840MB
step: 940/3250 | train_time:3013.2s | step_avg:3205.6ms | peak_vram:3840MB
step: 950/3250 | train_time:3034.5s | step_avg:3194.2ms | peak_vram:3840MB
step: 960/3250 | train_time:3055.7s | step_avg:3183.0ms | peak_vram:3840MB
step: 970/3250 | train_time:3076.9s | step_avg:3172.1ms | peak_vram:3840MB
step: 980/3250 | train_time:3098.2s | step_avg:3161.4ms | peak_vram:3840MB
step: 990/3250 | train_time:3119.5s | step_avg:3151.0ms | peak_vram:3840MB
step:1000/3250 | train_time:3140.7s | step_avg:3140.7ms | peak_vram:3840MB
step:1000/3250 | val_loss:4.2701 | train_time:3140.7s | step_avg:2124.7ms | peak_vram:3840MB
step:1010/3250 | train_time:3161.9s | step_avg:3130.6ms | peak_vram:3840MB
step:1020/3250 | train_time:3183.2s | step_avg:3120.8ms | peak_vram:3840MB
step:1030/3250 | train_time:3204.5s | step_avg:3111.1ms | peak_vram:3840MB
step:1040/3250 | train_time:3225.7s | step_avg:3101.6ms | peak_vram:3840MB
step:1050/3250 | train_time:3246.9s | step_avg:3092.3ms | peak_vram:3840MB
step:1060/3250 | train_time:3268.1s | step_avg:3083.1ms | peak_vram:3840MB
step:1070/3250 | train_time:3289.3s | step_avg:3074.1ms | peak_vram:3840MB
step:1080/3250 | train_time:3310.5s | step_avg:3065.3ms | peak_vram:3840MB
step:1090/3250 | train_time:3331.7s | step_avg:3056.6ms | peak_vram:3840MB
step:1100/3250 | train_time:3353.0s | step_avg:3048.2ms | peak_vram:3840MB
step:1110/3250 | train_time:3374.1s | step_avg:3039.7ms | peak_vram:3840MB
step:1120/3250 | train_time:3395.3s | step_avg:3031.5ms | peak_vram:3840MB
step:1125/3250 | val_loss:4.2281 | train_time:3405.9s | step_avg:2121.1ms | peak_vram:3840MB
step:1130/3250 | train_time:3416.5s | step_avg:3023.4ms | peak_vram:3840MB
step:1140/3250 | train_time:3437.7s | step_avg:3015.5ms | peak_vram:3840MB
step:1150/3250 | train_time:3458.9s | step_avg:3007.8ms | peak_vram:3840MB
step:1160/3250 | train_time:3480.2s | step_avg:3000.2ms | peak_vram:3840MB
step:1170/3250 | train_time:3501.4s | step_avg:2992.6ms | peak_vram:3840MB
step:1180/3250 | train_time:3522.6s | step_avg:2985.3ms | peak_vram:3840MB
step:1190/3250 | train_time:3544.0s | step_avg:2978.1ms | peak_vram:3840MB
step:1200/3250 | train_time:3565.2s | step_avg:2971.0ms | peak_vram:3840MB
step:1210/3250 | train_time:3586.5s | step_avg:2964.1ms | peak_vram:3840MB
step:1220/3250 | train_time:3607.8s | step_avg:2957.2ms | peak_vram:3840MB
step:1230/3250 | train_time:3629.1s | step_avg:2950.5ms | peak_vram:3840MB
step:1240/3250 | train_time:3650.4s | step_avg:2943.9ms | peak_vram:3840MB
step:1250/3250 | train_time:3671.7s | step_avg:2937.4ms | peak_vram:3840MB
step:1250/3250 | val_loss:4.1935 | train_time:3671.8s | step_avg:2127.2ms | peak_vram:3840MB
step:1260/3250 | train_time:3693.1s | step_avg:2931.0ms | peak_vram:3840MB
step:1270/3250 | train_time:3714.4s | step_avg:2924.7ms | peak_vram:3840MB
step:1280/3250 | train_time:3735.6s | step_avg:2918.5ms | peak_vram:3840MB
step:1290/3250 | train_time:3756.9s | step_avg:2912.4ms | peak_vram:3840MB
step:1300/3250 | train_time:3778.3s | step_avg:2906.4ms | peak_vram:3840MB
step:1310/3250 | train_time:3799.5s | step_avg:2900.4ms | peak_vram:3840MB
step:1320/3250 | train_time:3820.8s | step_avg:2894.6ms | peak_vram:3840MB
step:1330/3250 | train_time:3842.2s | step_avg:2888.8ms | peak_vram:3840MB
step:1340/3250 | train_time:3863.4s | step_avg:2883.1ms | peak_vram:3840MB
step:1350/3250 | train_time:3884.7s | step_avg:2877.5ms | peak_vram:3840MB
step:1360/3250 | train_time:3905.9s | step_avg:2872.0ms | peak_vram:3840MB
step:1370/3250 | train_time:3927.3s | step_avg:2866.6ms | peak_vram:3840MB
step:1375/3250 | val_loss:4.1672 | train_time:3937.9s | step_avg:2129.5ms | peak_vram:3840MB
step:1380/3250 | train_time:3948.6s | step_avg:2861.3ms | peak_vram:3840MB
step:1390/3250 | train_time:3969.9s | step_avg:2856.1ms | peak_vram:3840MB
step:1400/3250 | train_time:3991.4s | step_avg:2851.0ms | peak_vram:3840MB
step:1410/3250 | train_time:4012.7s | step_avg:2845.9ms | peak_vram:3840MB
step:1420/3250 | train_time:4034.1s | step_avg:2840.9ms | peak_vram:3840MB
step:1430/3250 | train_time:4055.4s | step_avg:2835.9ms | peak_vram:3840MB
step:1440/3250 | train_time:4076.7s | step_avg:2831.0ms | peak_vram:3840MB
step:1450/3250 | train_time:4098.1s | step_avg:2826.3ms | peak_vram:3840MB
step:1460/3250 | train_time:4119.5s | step_avg:2821.6ms | peak_vram:3840MB
step:1470/3250 | train_time:4140.9s | step_avg:2816.9ms | peak_vram:3840MB
step:1480/3250 | train_time:4162.3s | step_avg:2812.4ms | peak_vram:3840MB
step:1490/3250 | train_time:4183.7s | step_avg:2807.9ms | peak_vram:3840MB
step:1500/3250 | train_time:4205.1s | step_avg:2803.4ms | peak_vram:3840MB
step:1500/3250 | val_loss:4.1217 | train_time:4205.1s | step_avg:2137.2ms | peak_vram:3840MB
step:1510/3250 | train_time:4226.4s | step_avg:2798.9ms | peak_vram:3840MB
step:1520/3250 | train_time:4247.8s | step_avg:2794.6ms | peak_vram:3840MB
